h3_cell,total_crimes_in_cell,violent_crimes_in_cell,cell_violent_rate,neighbour_avg_crimes
8826641903fffff,19,4.0,0.21052631578947367,23.166666666666668
8826641907fffff,2,0.0,0.0,21.0
8826641909fffff,3,0.0,0.0,33.0
882664190bfffff,15,1.0,0.06666666666666667,18.166666666666668
882664190dfffff,4,0.0,0.0,0.6666666666666666
8826641913fffff,80,37.0,0.4625,19.166666666666668
8826641915fffff,14,3.0,0.21428571428571427,73.0
8826641917fffff,101,32.0,0.31683168316831684,72.33333333333333
882664191dfffff,9,2.0,0.2222222222222222,8.0
8826641925fffff,1,1.0,1.0,0.6666666666666666
8826641927fffff,1,0.0,0.0,38.166666666666664
8826641929fffff,1,0.0,0.0,1.3333333333333333
882664192bfffff,8,4.0,0.5,0.5
8826641931fffff,26,6.0,0.23076923076923078,53.666666666666664
8826641933fffff,12,1.0,0.08333333333333333,58.666666666666664
8826641935fffff,1,0.0,0.0,5.5
8826641939fffff,99,23.0,0.23232323232323232,45.166666666666664
882664193bfffff,210,62.0,0.29523809523809524,61.333333333333336
8826641941fffff,99,14.0,0.1414141414141414,115.16666666666667
8826641943fffff,101,32.0,0.31683168316831684,64.66666666666667
8826641945fffff,29,9.0,0.3103448275862069,86.66666666666667
8826641949fffff,365,116.0,0.3178082191780822,106.16666666666667
882664194bfffff,183,53.0,0.2896174863387978,125.83333333333333
882664194dfffff,13,3.0,0.23076923076923078,148.33333333333334
8826641955fffff,78,24.0,0.3076923076923077,24.0
882664195dfffff,25,9.0,0.36,63.833333333333336
8826641969fffff,172,49.0,0.28488372093023256,54.333333333333336
882664196bfffff,1,0.0,0.0,34.166666666666664
882664196dfffff,1,1.0,1.0,65.83333333333333
88266419e9fffff,14,6.0,0.42857142857142855,49.5
88266419edfffff,116,27.0,0.23275862068965517,56.166666666666664
8826641b21fffff,281,99.0,0.35231316725978645,52.666666666666664
8826641b23fffff,103,37.0,0.3592233009708738,148.5
8826641b25fffff,68,14.0,0.20588235294117646,185.33333333333334
8826641b27fffff,95,27.0,0.28421052631578947,149.5
8826641b29fffff,6,6.0,1.0,54.166666666666664
8826641b2bfffff,6,2.0,0.3333333333333333,65.0
8826641b2dfffff,38,12.0,0.3157894736842105,205.16666666666666
8826641b35fffff,144,50.0,0.3472222222222222,112.0
8826641b37fffff,21,6.0,0.2857142857142857,58.666666666666664
8826641b61fffff,1,1.0,1.0,4.833333333333333
8826641b65fffff,29,10.0,0.3448275862068966,173.5
8826645201fffff,126,35.0,0.2777777777777778,78.83333333333333
8826645203fffff,92,15.0,0.16304347826086957,133.66666666666666
8826645205fffff,82,22.0,0.2682926829268293,72.33333333333333
8826645207fffff,131,54.0,0.4122137404580153,106.5
8826645209fffff,20,6.0,0.3,51.5
882664520bfffff,147,30.0,0.20408163265306123,83.33333333333333
882664520dfffff,1,1.0,1.0,38.0
8826645211fffff,88,11.0,0.125,85.16666666666667
8826645213fffff,54,9.0,0.16666666666666666,57.666666666666664
8826645215fffff,221,53.0,0.2398190045248869,102.16666666666667
8826645217fffff,105,20.0,0.19047619047619047,85.66666666666667
8826645219fffff,1,0.0,0.0,155.5
882664521bfffff,81,27.0,0.3333333333333333,154.5
882664521dfffff,49,11.0,0.22448979591836735,121.16666666666667
8826645223fffff,21,6.0,0.2857142857142857,46.0
8826645229fffff,41,5.0,0.12195121951219512,36.166666666666664
882664522bfffff,135,28.0,0.2074074074074074,58.5
8826645231fffff,131,38.0,0.2900763358778626,70.16666666666667
8826645235fffff,65,23.0,0.35384615384615387,38.166666666666664
8826645237fffff,1,0.0,0.0,32.666666666666664
8826645239fffff,128,35.0,0.2734375,133.66666666666666
